;estado;cidade;populacao;pib;pib_percapita
0;BAHIA;Tremedal;18433;57883.9921875;3140.23999023
1;RIO GRANDE DO SUL;Turucu;4000;45723.875;11430.96972656
2;ESPIRITO SANTO;Vitoria;320156;19782628.0;61790.58984375
3;MINAS GERAIS;Jacutinga;21424;247816.0;11567.20996094
4;PIAUI;Nazaria;7895;20951.38085938;2653.75
5;MINAS GERAIS;Pedra Azul;26000;187523.671875;7212.45019531
6;PIAUI;Teresina;802537;8700461.0;10841.20019531
7;PIAUI;Amarante;17892;65322.88671875;3650.94995117
8;GOIAS;Matrincha;4420;45910.546875;10387.0
9;PERNAMBUCO;Cachoeirinha;18123;80433.8046875;4438.22021484
10;PARA;Afua;32633;100038.40625;3065.56005859
11;PERNAMBUCO;Fernando de Noronha;3108;26980.71484375;8681.04980469
12;RIO GRANDE DO SUL;Frederico Westphalen;28428;490769.53125;17263.59960938
13;SERGIPE;Amparo de Sao Francisco;2268;12769.73339844;5630.39013672
14;SAO PAULO;Itapeva;89768;1120700.0;12484.40039062
15;PARAIBA;Bayeux;96198;604882.125;6287.89013672
16;TOCANTINS;Ananas;9514;59541.40625;6258.29003906
17;MINAS GERAIS;Santo Antonio do Retiro;7087;25568.890625;3607.86010742
18;PARAIBA;Serra Branca;12816;62123.3359375;4847.33007812
19;AMAZONAS;Envira;17614;69843.03125;3965.19995117
20;TOCANTINS;Oliveira de Fatima;1129;11591.94921875;10267.45019531
21;SAO PAULO;Elisiario;3317;52295.234375;15765.8203125
22;SANTA CATARINA;Otacilio Costa;16587;364577.8125;21979.73046875
23;MINAS GERAIS;Sericita;7345;39047.0703125;5316.14013672
24;MINAS GERAIS;Diamantina;46372;287632.03125;6202.70996094
25;BAHIA;Maetinga;7884;23558.44726562;2988.12988281
26;CEARA;Iracema;15114;62552.0234375;4138.68017578
27;RORAIMA;Sao Joao da Baliza;6028;59372.453125;9849.45019531
